CPU	 1	 0.016675
CPU	 3	 0.016675
CPU	 5	 0.01665
CPU	 7	 0.016675
CPU	 9	 0
CPU	 11	 0.016675
CPU	 13	 0.016675
CPU	 15	 0.016675
CPU	 17	 0.01665
CPU	 19	 0.016675
CPU	 21	 0.033325
CPU	 23	 0.01665
CPU	 25	 0.016675
CPU	 27	 0.016675
CPU	 29	 0.01665
CPU	 31	 0.01665
CPU	 33	 0.01665
CPU	 35	 0.01665
CPU	 37	 0.01665
CPU	 39	 0.033325
CPU	 41	 0.016675
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0.033325
CPU	 49	 0.01665
CPU	 51	 0.01665
CPU	 53	 0.033325
CPU	 55	 0.016675
CPU	 57	 0.03335
CPU	 59	 0.016675
CPU	 61	 0.01665
CPU	 63	 0.033325
CPU	 65	 0.016675
CPU	 67	 0.033325
CPU	 69	 0.033325
CPU	 71	 0.016675
CPU	 73	 0.01665
CPU	 75	 0.03335
CPU	 77	 0.01665
CPU	 79	 0.016675
CPU	 81	 0.033325
CPU	 83	 0.03335
CPU	 85	 0.033325
CPU	 87	 0.033325
CPU	 89	 0.016675
CPU	 91	 0.033325
CPU	 93	 0.033325
CPU	 95	 0.03335
CPU	 97	 0.03335
CPU	 99	 0.033325
IO	 0	 1914.55
IO	 2	 1914.62
IO	 4	 1914.67
IO	 6	 1914.72
IO	 8	 1914.78
IO	 10	 1914.82
IO	 12	 1914.87
IO	 14	 1914.92
IO	 16	 1914.95
IO	 18	 1914.97
IO	 20	 1915
IO	 22	 1915.03
IO	 24	 1915.05
IO	 26	 1915.07
IO	 28	 1915.08
IO	 30	 1915.1
IO	 32	 1915.1
IO	 34	 1915.1
IO	 36	 1915.1
IO	 38	 1915.12
IO	 40	 1915.1
IO	 42	 1915.1
IO	 44	 1915.1
IO	 46	 1915.08
IO	 48	 1915.07
IO	 50	 1915.05
IO	 52	 1915.03
IO	 54	 1915.02
IO	 56	 1914.98
IO	 58	 1914.97
IO	 60	 1914.93
IO	 62	 1914.9
IO	 64	 1914.85
IO	 66	 1914.83
IO	 68	 1914.77
IO	 70	 1914.73
IO	 72	 1914.68
IO	 74	 1914.63
IO	 76	 1914.57
IO	 78	 1914.52
IO	 80	 1914.47
IO	 82	 1914.38
IO	 84	 1914.33
IO	 86	 1914.25
IO	 88	 1914.18
IO	 90	 1914.1
IO	 92	 1914.03
IO	 94	 1913.95
IO	 96	 1913.87
IO	 98	 1913.77
