CPU	 1	 0.01665
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0.016675
CPU	 9	 0.016675
CPU	 11	 0.01665
CPU	 13	 0.016675
CPU	 15	 0.016675
CPU	 17	 0.01665
CPU	 19	 0.016675
CPU	 21	 0.016675
CPU	 23	 0
CPU	 25	 0.01665
CPU	 27	 0.016675
CPU	 29	 0.016675
CPU	 31	 0.01665
CPU	 33	 0.016675
CPU	 35	 0.016675
CPU	 37	 0.01665
CPU	 39	 0.016675
CPU	 41	 0
CPU	 43	 0.016675
CPU	 45	 0.01665
CPU	 47	 0.016675
CPU	 49	 0.016675
CPU	 51	 0.01665
CPU	 53	 0.016675
CPU	 55	 0.016675
CPU	 57	 0.01665
CPU	 59	 0.016675
CPU	 61	 0
CPU	 63	 0
CPU	 65	 0
CPU	 67	 0.016675
CPU	 69	 0.033325
CPU	 71	 0.016675
CPU	 73	 0.01665
CPU	 75	 0.016675
CPU	 77	 0.016675
CPU	 79	 0.01665
CPU	 81	 0.016675
CPU	 83	 0.016675
CPU	 85	 0.01665
CPU	 87	 0
CPU	 89	 0.016675
CPU	 91	 0.016675
CPU	 93	 0.01665
CPU	 95	 0.016675
CPU	 97	 0.016675
CPU	 99	 0.01665
IO	 0	 14.9333
IO	 2	 14.9334
IO	 4	 14.9334
IO	 6	 14.9334
IO	 8	 14.9167
IO	 10	 14.9
IO	 12	 14.8834
IO	 14	 14.8667
IO	 16	 14.85
IO	 18	 14.8333
IO	 20	 14.8167
IO	 22	 14.8
IO	 24	 14.8
IO	 26	 14.7834
IO	 28	 14.7667
IO	 30	 14.75
IO	 32	 14.7333
IO	 34	 14.7167
IO	 36	 14.7
IO	 38	 14.6834
IO	 40	 14.6667
IO	 42	 14.6667
IO	 44	 14.65
IO	 46	 14.6334
IO	 48	 14.6167
IO	 50	 14.6
IO	 52	 14.5833
IO	 54	 14.5667
IO	 56	 14.55
IO	 58	 14.5334
IO	 60	 14.5167
IO	 62	 14.5167
IO	 64	 14.4833
IO	 66	 14.4667
IO	 68	 14.45
IO	 70	 14.4167
IO	 72	 14.4
IO	 74	 14.3834
IO	 76	 14.3833
IO	 78	 14.3666
IO	 80	 14.35
IO	 82	 14.3333
IO	 84	 14.3166
IO	 86	 14.3
IO	 88	 14.3
IO	 90	 14.2833
IO	 92	 14.2667
IO	 94	 14.25
IO	 96	 14.2333
IO	 98	 14.2166
