CPU	 1	 0.016675
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0.016675
CPU	 19	 0.01665
CPU	 21	 0
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0.016675
CPU	 35	 0
CPU	 37	 0.016675
CPU	 39	 0
CPU	 41	 0.016675
CPU	 43	 0
CPU	 45	 0.016675
CPU	 47	 0
CPU	 49	 0.016675
CPU	 51	 0
CPU	 53	 0
CPU	 55	 0.01665
CPU	 57	 0
CPU	 59	 0
CPU	 61	 0.01665
CPU	 63	 0
CPU	 65	 0
CPU	 67	 0
CPU	 69	 0
CPU	 71	 0
CPU	 73	 0
CPU	 75	 0
CPU	 77	 0.016675
CPU	 79	 0.01665
CPU	 81	 0
CPU	 83	 0.016675
CPU	 85	 0
CPU	 87	 0.016675
CPU	 89	 0.01665
CPU	 91	 0.01665
CPU	 93	 0.016675
CPU	 95	 0.016675
CPU	 97	 0.016675
CPU	 99	 0
IO	 0	 3514.13
IO	 2	 3514.2
IO	 4	 3514.28
IO	 6	 3514.33
IO	 8	 3514.42
IO	 10	 3514.47
IO	 12	 3514.52
IO	 14	 3514.55
IO	 16	 3514.62
IO	 18	 3514.67
IO	 20	 3514.7
IO	 22	 3514.73
IO	 24	 3514.77
IO	 26	 3514.82
IO	 28	 3514.85
IO	 30	 3514.88
IO	 32	 3514.92
IO	 34	 3514.93
IO	 36	 3514.95
IO	 38	 3514.97
IO	 40	 3514.98
IO	 42	 3515
IO	 44	 3515.02
IO	 46	 3515.03
IO	 48	 3515.03
IO	 50	 3515.05
IO	 52	 3515.03
IO	 54	 3515.03
IO	 56	 3515.05
IO	 58	 3515.05
IO	 60	 3515.03
IO	 62	 3515.03
IO	 64	 3515.02
IO	 66	 3515.02
IO	 68	 3515
IO	 70	 3514.98
IO	 72	 3514.97
IO	 74	 3514.95
IO	 76	 3514.93
IO	 78	 3514.92
IO	 80	 3514.88
IO	 82	 3514.87
IO	 84	 3514.82
IO	 86	 3514.8
IO	 88	 3514.77
IO	 90	 3514.73
IO	 92	 3514.7
IO	 94	 3514.65
IO	 96	 3514.6
IO	 98	 3514.58
