CPU	 1	 0
CPU	 3	 0.016675
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0.01665
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0.01665
CPU	 21	 0.016675
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0.016675
CPU	 41	 0.01665
CPU	 43	 0.016675
CPU	 45	 0
CPU	 47	 0.016675
CPU	 49	 0
IO	 0	 497.4
IO	 2	 497.417
IO	 4	 497.417
IO	 6	 497.433
IO	 8	 497.433
IO	 10	 497.45
IO	 12	 497.45
IO	 14	 497.45
IO	 16	 497.45
IO	 18	 497.45
IO	 20	 497.45
IO	 22	 497.433
IO	 24	 497.433
IO	 26	 497.433
IO	 28	 497.417
IO	 30	 497.417
IO	 32	 497.4
IO	 34	 497.383
IO	 36	 497.383
IO	 38	 497.367
IO	 40	 497.35
IO	 42	 497.317
IO	 44	 497.317
IO	 46	 497.283
IO	 48	 497.267
