CPU	 1	 0
CPU	 3	 0
CPU	 5	 0.016675
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0.016675
CPU	 19	 0.016675
CPU	 21	 0
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0.01665
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0.01665
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0.016675
CPU	 43	 0.01665
CPU	 45	 0
CPU	 47	 0.01665
CPU	 49	 0
IO	 0	 496.233
IO	 2	 496.233
IO	 4	 496.25
IO	 6	 496.25
IO	 8	 496.267
IO	 10	 496.267
IO	 12	 496.283
IO	 14	 496.283
IO	 16	 496.3
IO	 18	 496.283
IO	 20	 496.283
IO	 22	 496.283
IO	 24	 496.267
IO	 26	 496.267
IO	 28	 496.267
IO	 30	 496.25
IO	 32	 496.233
IO	 34	 496.233
IO	 36	 496.217
IO	 38	 496.2
IO	 40	 496.183
IO	 42	 496.167
IO	 44	 496.15
IO	 46	 496.117
IO	 48	 496.1
