CPU	 1	 0
CPU	 7	 0
CPU	 3	 0.01665
CPU	 5	 0
CPU	 9	 0
CPU	 11	 0
CPU	 17	 0
CPU	 15	 0
CPU	 13	 0
CPU	 21	 0.016675
CPU	 19	 0
CPU	 23	 0.01665
CPU	 27	 0.016675
CPU	 25	 0.016675
CPU	 31	 0
CPU	 35	 0.016675
CPU	 33	 0.01665
CPU	 29	 0
CPU	 41	 0
CPU	 39	 0.016675
CPU	 37	 0
CPU	 47	 0.016675
CPU	 43	 0
CPU	 45	 0
CPU	 49	 0
CPU	 53	 0
CPU	 51	 0
CPU	 59	 0
CPU	 55	 0.016675
CPU	 57	 0.016675
CPU	 63	 0.033325
CPU	 61	 0
CPU	 67	 0.016675
CPU	 65	 0
CPU	 69	 0
CPU	 71	 0.03335
CPU	 75	 0.016675
CPU	 79	 0
CPU	 77	 0.016675
CPU	 73	 0.016675
CPU	 81	 0
CPU	 83	 0.016675
CPU	 85	 0
CPU	 87	 0
CPU	 91	 0.016675
CPU	 89	 0.016675
CPU	 93	 0.016675
CPU	 97	 0
CPU	 95	 0
CPU	 99	 0.03335
IO	 14	 1544.68
IO	 86	 1545.12
IO	 4	 1546.67
IO	 42	 1547.5
IO	 54	 1547.5
IO	 26	 1547.9
IO	 32	 1548.48
IO	 94	 1547.88
IO	 44	 1549.23
IO	 88	 1548.65
IO	 50	 1549.98
IO	 12	 1550.35
IO	 52	 1549.98
IO	 8	 1550.42
IO	 18	 1550.57
IO	 96	 1549.58
IO	 76	 1550.05
IO	 74	 1550.15
IO	 6	 1550.98
IO	 56	 1550.65
IO	 28	 1551.07
IO	 84	 1550.57
IO	 66	 1550.93
IO	 46	 1551.2
IO	 22	 1551.42
IO	 60	 1551.23
IO	 82	 1550.97
IO	 0	 1552.13
IO	 62	 1551.68
IO	 64	 1551.58
IO	 38	 1552.2
IO	 68	 1551.9
IO	 40	 1552.38
IO	 72	 1551.95
IO	 78	 1551.98
IO	 10	 1552.73
IO	 24	 1552.78
IO	 34	 1553.07
IO	 90	 1552.28
IO	 2	 1553.28
IO	 36	 1553.23
IO	 30	 1553.3
IO	 20	 1553.48
IO	 92	 1552.62
IO	 80	 1552.9
IO	 58	 1553.23
IO	 16	 1553.65
IO	 98	 1552.53
IO	 48	 1553.42
IO	 70	 1553.22
